z,y,x,pose
0.029975000768899918,-0.053075000643730164,0.06572499871253967,twisting
0.017875000834465027,-0.0812624990940094,0.08524999767541885,twisting
-0.006599999964237213,-0.09583749622106552,0.09624999761581421,twisting
-0.018837500363588333,-0.08249999582767487,0.1060125008225441,twisting
-0.020075000822544098,-0.06531249731779099,0.1097249984741211,twisting
-0.020075000822544098,-0.05555000156164169,0.10119999945163727,twisting
-0.031075000762939453,-0.0494999997317791,0.08277499675750732,twisting
-0.03959999978542328,-0.04097500070929527,0.06077500060200691,twisting
-0.045649997889995575,-0.036024998873472214,0.03396249935030937,twisting
-0.04331250116229057,-0.04097500070929527,0.004674999974668026,twisting
-0.026124998927116394,-0.045787498354911804,-0.01979999989271164,twisting
-0.0028874999843537807,-0.04097500070929527,-0.04179999977350235,twisting
0.022687500342726707,-0.026262499392032623,-0.057612501084804535,twisting
0.031212499365210533,0.0017874999903142452,-0.060087498277425766,twisting
0.029975000768899918,0.029975000768899918,-0.05403750017285347,twisting
0.010449999943375587,0.07150000333786011,-0.03684999793767929,twisting
-0.018837500363588333,0.1069749966263771,-0.01251249946653843,twisting
-0.04455000162124634,0.141075000166893,0.027912499383091927,twisting
-0.05664999783039093,0.16060000658035278,0.07548750191926956,twisting
-0.05431250110268593,0.16307500004768372,0.11701250076293945,twisting
-0.04936249926686287,0.148499995470047,0.14506250619888306,twisting
-0.05431250110268593,0.1190750002861023,0.1634874939918518,twisting
-0.028599999845027924,0.08978749811649323,0.15729999542236328,twisting
0.020212499424815178,0.06778749823570251,0.13048750162124634,twisting
0.08621250092983246,0.03478749841451645,0.09019999951124191,twisting
0.15468749403953552,0.0006874999962747097,0.04743750020861626,twisting
0.21449999511241913,-0.026262499392032623,0.013199999928474426,twisting
0.25850000977516174,-0.04331250116229057,-0.003987499978393316,twisting
0.28049999475479126,-0.05431250110268593,-0.0015124999918043613,twisting
0.2694999873638153,-0.03231250122189522,0.021724998950958252,twisting
0.22068749368190765,-0.0017874999903142452,0.04977500066161156,twisting
0.16073749959468842,0.058024998754262924,0.08043749630451202,twisting
0.0849749967455864,0.17531250417232513,0.11453749984502792,twisting
-0.010312499478459358,0.2461249977350235,0.16101250052452087,twisting
-0.07631249725818634,0.20707499980926514,0.2110625058412552,twisting
-0.1116499975323677,0.11797499656677246,0.2623499929904938,twisting
-0.09941250085830688,0.027499999850988388,0.28558748960494995,twisting
-0.07507500052452087,-0.0017874999903142452,0.29906249046325684,twisting
-0.060362499207258224,0.006737499963492155,0.2905375063419342,twisting
-0.03959999978542328,-0.022549999877810478,0.24529999494552612,twisting
-0.0017874999903142452,-0.09226249903440475,0.16830000281333923,twisting
0.043449997901916504,-0.13007499277591705,0.09019999951124191,twisting
0.06544999778270721,-0.13255000114440918,0.029012499377131462,twisting
0.0471624992787838,-0.11178749799728394,-0.011274999938905239,twisting
-0.010312499478459358,-0.09102500230073929,-0.03451250120997429,twisting
-0.06407500058412552,-0.07507500052452087,-0.043037500232458115,twisting
-0.08841250091791153,-0.07383749634027481,-0.030799999833106995,twisting
-0.09707500040531158,-0.07150000333786011,0.004674999974668026,twisting
-0.10064999759197235,-0.05678749829530716,0.03519999980926514,twisting
-0.09088750183582306,-0.036024998873472214,0.06324999779462814,twisting
-0.07259999960660934,-0.03973750025033951,0.08648750185966492,twisting
-0.07741250097751617,-0.07507500052452087,0.0999625027179718,twisting
-0.09088750183582306,-0.11302500218153,0.10119999945163727,twisting
-0.09707500040531158,-0.11659999936819077,0.08648750185966492,twisting
-0.10188750177621841,-0.08483749628067017,0.0681999996304512,twisting
-0.11783749610185623,-0.1508374959230423,0.04001250118017197,twisting
-0.172837495803833,-0.2241249978542328,-0.052799999713897705,twisting
-0.16060000658035278,-0.16554999351501465,-0.08208750188350677,twisting
-0.08607500046491623,-0.1802625060081482,-0.11137499660253525,twisting
-0.009074999950826168,-0.19978749752044678,-0.17132499814033508,twisting
0.09473749995231628,-0.24736249446868896,-0.23237499594688416,twisting
0.16568750143051147,-0.33412501215934753,-0.3008500039577484,twisting
0.18754999339580536,-0.3866499960422516,-0.36918750405311584,twisting
0.16197499632835388,-0.3731749951839447,-0.4179999828338623,twisting
0.11302500218153,-0.2974124848842621,-0.4254249930381775,twisting
0.06668750196695328,-0.20336249470710754,-0.3777124881744385,twisting
0.025162499397993088,-0.13983750343322754,-0.29589998722076416,twisting
-0.021312499418854713,-0.10202500224113464,-0.20308749377727509,twisting
-0.05431250110268593,-0.029975000768899918,-0.11137499660253525,twisting
-0.06159999966621399,0.028737500309944153,-0.033275000751018524,twisting
-0.04207500070333481,0.029975000768899918,0.01691249944269657,twisting
-0.005362499970942736,0.014024999924004078,0.03891250118613243,twisting
0.025162499397993088,0.012787500396370888,0.029012499377131462,twisting
0.020212499424815178,0.031212499365210533,0.004674999974668026,twisting
-0.007837500423192978,0.05073750019073486,-0.013612499460577965,twisting
-0.04331250116229057,0.0812624990940094,-0.013612499460577965,twisting
-0.06407500058412552,0.09707500040531158,-0.0038499999791383743,twisting
-0.06778749823570251,0.10449999570846558,0.002199999988079071,twisting
-0.08112499862909317,0.10807500034570694,-0.007562499959021807,twisting
-0.09831249713897705,0.11178749799728394,-0.030799999833106995,twisting
-0.09583749622106552,0.16926249861717224,-0.01484999991953373,twisting
-0.089649997651577,0.13983750343322754,0.07067500054836273,twisting
-0.09459999948740005,0.06778749823570251,0.11948750168085098,twisting
-0.08236250281333923,0.04702499881386757,0.11219999939203262,twisting
-0.07012499868869781,0.028737500309944153,0.0644875019788742,twisting
-0.04688749834895134,-0.0017874999903142452,-0.021037500351667404,twisting
0.006737499963492155,-0.04097500070929527,-0.12484999746084213,twisting
0.07397499680519104,-0.08002500236034393,-0.2153249979019165,twisting
0.10573749989271164,-0.10078749805688858,-0.2714250087738037,twisting
0.10449999570846558,-0.10326249897480011,-0.281187504529953,twisting
0.09350000321865082,-0.10202500224113464,-0.25437501072883606,twisting
0.0849749967455864,-0.12402500212192535,-0.22866250574588776,twisting
0.09844999760389328,-0.11659999936819077,-0.2176624983549118,twisting
0.12044999748468399,-0.05678749829530716,-0.20061250030994415,twisting
0.11550000309944153,0.005499999970197678,-0.18232500553131104,twisting
0.07026249915361404,0.018975000828504562,-0.16513749957084656,twisting
-0.0005499999970197678,0.015262499451637268,-0.14685000479221344,twisting
-0.060362499207258224,0.03244999796152115,-0.1163249984383583,twisting
-0.0873124971985817,0.06902500241994858,-0.07727500051259995,twisting
-0.0835999995470047,0.09707500040531158,-0.043037500232458115,twisting
-0.06407500058412552,0.10202500224113464,-0.02227500081062317,twisting
-0.04207500070333481,0.08855000138282776,-0.013612499460577965,twisting
-0.01759999990463257,0.06531249731779099,-0.008799999952316284,twisting
0.011687500402331352,0.05555000156164169,0.0009624999947845936,twisting
0.022687500342726707,0.0494999997317791,0.009487500414252281,twisting
0.014024999924004078,0.04331250116229057,0.013199999928474426,twisting
